Date,FCPOTOTS Index  (R1),WMMFAMNA Index  (L1),WMMFAMAC Index  (R2)
2017-11-01,1047.5,444005,2158874
2017-10-25,1067.3,445369,2173764
2017-10-18,1061.7,446753,2169150
2017-10-11,1063.8,445643,2167202
2017-10-04,1069.2,444638,2167914
2017-09-27,1059.1,443224,2169608
2017-09-20,1043.9,444560,2151609
2017-09-13,1023.4,442515,2168302
2017-09-06,1007.2,438056,2155267
2017-08-30,1023.3,437142,2145380
2017-08-23,996.1,436087,2165080
2017-08-16,987.1,429206,2141185
2017-08-09,979.9,425960,2131921
2017-08-02,969.2,422270,2102342
2017-07-26,977.4,422655,2087662
2017-07-19,969.9,420900,2065874
2017-07-12,960.1,418545,2077758
2017-07-05,946.3,415452,2080711
2017-06-28,973.3,413247,2080142
2017-06-21,978.7,411204,2077462
2017-06-14,968.4,408182,2096220
2017-06-07,996.8,408332,2120712
2017-05-31,993.6,405918,2118502
2017-05-24,987.1,406842,2112048
2017-05-17,986.4,406633,2108560
2017-05-10,981.5,405539,2115061
2017-05-03,992.5,403652,2111156
2017-04-26,980.2,398132,2116168
2017-04-19,974.9,396436,2102045
2017-04-12,984.9,399435,2113979
2017-04-05,992.7,397214,2120238
2017-03-29,986,397818,2125839
2017-03-22,965.1,397969,2125355
2017-03-15,961.2,394848,2151404
2017-03-08,962.9,395593,2161950
2017-03-01,970.3,394093,2153775
2017-02-22,966.1,393730,2155423
2017-02-15,964.4,390450,2152442
2017-02-08,965,387996,2157213
2017-02-01,965.3,384509,2163908
2017-01-25,962.9,385213,2169413
2017-01-18,966.6,382974,2151647
2017-01-11,958.8,382296,2177293
2017-01-04,949.5,378808,2202720
2016-12-28,986.5,376350,2221919
2016-12-21,965.8,374874,2207004
2016-12-14,950,375086,2228321
2016-12-07,935.4,376545,2230952
2016-11-30,923.5,375640,2215081
2016-11-23,921.5,377055,2198083
2016-11-16,912,376884,2179643
2016-11-09,907.3,375428,2178587
2016-11-02,907,372735,2175472
2016-10-26,902.7,380430,2142707
2016-10-19,905,382970,2124074
2016-10-12,902.9,412387,2108520
2016-10-05,916.3,469169,2057280
2016-09-28,946.5,582946,1965899
2016-09-21,942.5,669082,1863339
2016-09-14,963.7,729258,1786935
2016-09-07,982.7,786209,1761178
2016-08-31,981.3,820434,1752003
2016-08-24,1004,879250,1699028
2016-08-17,1012.5,903029,1643985
2016-08-10,1023.3,943050,1628727
2016-08-03,1022.5,965681,1588455
2016-07-27,1026.3,988569,1542692
2016-07-20,1053.3,1006867,1519435
2016-07-13,1047.9,1035879,1495896
2016-07-06,1039.8,1023802,1480858
2016-06-29,1050.8,1046996,1477557
2016-06-22,1038.9,1069986,1431798
2016-06-15,1043.4,1097155,1406000
2016-06-08,1052.2,1120052,1398756
2016-06-01,1066.3,1140001,1384314
2016-05-25,1079.4,1162635,1360697
2016-05-18,1099,1164002,1342805
2016-05-11,1115.7,1178812,1322822
2016-05-04,1120.4,1169679,1323673
2016-04-27,1109.6,1203382,1289314
2016-04-20,1110.8,1196794,1281753
2016-04-13,1093.2,1215981,1292909
2016-04-06,1101.8,1213175,1300119
2016-03-30,1100.7,1247211,1290892
2016-03-23,1089.8,1249813,1271177
2016-03-16,1097.5,1260200,1269340
2016-03-09,1084.4,1283633,1284077
2016-03-02,1082.9,1276184,1290264
2016-02-24,1076.4,1264196,1274148
2016-02-17,1084.2,1263946,1256690
2016-02-10,1077,1270656,1243296
2016-02-03,1064.9,1267872,1237962
2016-01-27,1061.4,1263353,1244415
2016-01-20,1051.9,1249127,1238094
2016-01-13,1044.7,1249844,1235944
2016-01-06,1082.4,1247067,1227622
2015-12-30,1056.8,1282863,1221250
2015-12-23,1022.3,1267914,1220484
2015-12-16,1014.6,1261505,1217239
2015-12-09,1036.5,1284931,1218746
2015-12-02,1043.8,1278130,1212435
2015-11-25,1057.6,1404502,1072090
2015-11-18,1066.3,1398460,1066193
2015-11-11,1049.4,1428953,1038936
2015-11-04,1058.4,1422772,1032242
2015-10-28,1057.1,1457365,1013952
2015-10-21,1063.9,1450227,1001740
2015-10-14,1049.1,1448900,1000785
2015-10-07,1045.8,1446928,993476
2015-09-30,957.8,1423743,1001069
2015-09-23,1030.7,1440745,973706
2015-09-16,1039,1430059,968351
2015-09-09,1043.9,1433689,979364
2015-09-02,1032.1,1436608,991247
2015-08-26,1049.7,1435370,1009857
2015-08-19,1057.1,1425907,1010532
2015-08-12,1059.1,1422908,1003510
2015-08-05,1068.1,1412428,1006704
2015-07-29,1058.3,1410047,991459
2015-07-22,1047.6,1419745,981878
2015-07-15,1028.3,1412221,972462
2015-07-08,1020.5,1410269,974428
2015-07-01,952,1397811,973151
2015-06-24,980.9,1397042,960458
2015-06-17,974.3,1395424,956646
2015-06-10,964.8,1404564,959054
2015-06-03,943.6,1406724,962399
2015-05-27,944.9,1402003,966500
2015-05-20,963.9,1396287,967015
2015-05-13,992.3,1379400,964960
2015-05-06,1016.7,1383284,960496
2015-04-29,1023.2,1382570,955259
2015-04-22,1025.6,1396775,942220
2015-04-15,1031.9,1395560,945587
2015-04-08,1018.6,1422072,952102
2015-04-01,1010.4,1412439,963179
2015-03-25,1031.8,1439385,982240
2015-03-18,1025.5,1425463,977438
2015-03-11,1023,1446020,975846
2015-03-04,998.4,1434817,968555
2015-02-25,1026.6,1446971,976178
2015-02-18,991.9,1438261,971982
2015-02-11,994.8,1444835,976227
2015-02-04,988.7,1432544,983612
2015-01-28,1007.5,1448514,985166
2015-01-21,1009.9,1441265,992149
2015-01-14,1029.5,1443252,991538
2015-01-07,1086.1,1450892,990646
2014-12-31,1007.6,1451382,1013765
2014-12-24,1051.8,1448615,997623
2014-12-17,1074.1,1435960,990849
2014-12-10,1086.6,1457461,986806
2014-12-03,1095.7,1448375,978311
2014-11-26,1091.4,1432113,972495
2014-11-19,1090.9,1428579,966203
2014-11-12,1079.8,1427350,958789
2014-11-05,1073.2,1416651,960282
2014-10-29,1064.8,1412359,963022
2014-10-22,1062.8,1401773,962185
2014-10-15,1060.5,1392318,958417
2014-10-08,1083.1,1410421,960601
2014-10-01,1054.7,1397089,958384
2014-09-24,1057.7,1403732,929828
2014-09-17,1051.6,1392728,923920
2014-09-10,1050.6,1404847,927695
2014-09-03,1049,1403252,921557
2014-08-27,1041.3,1402402,932428
2014-08-20,1022.8,1396959,925409
2014-08-13,1036.7,1399199,917456
2014-08-06,1038.4,1396306,909306
2014-07-30,1048,1395597,900457
2014-07-23,1025.9,1396639,907036
2014-07-16,1028.2,1399487,905498
2014-07-09,1041.8,1408347,906172
2014-07-02,1053.9,1399485,909545
2014-06-25,1054.7,1393546,905843
2014-06-18,1042.6,1393589,898251
2014-06-11,1046.5,1411209,911596
2014-06-04,1038.8,1403760,915042
2014-05-28,1027.9,1407477,920957
2014-05-21,1036.8,1406260,917097
2014-05-14,1038.3,1415272,912881
2014-05-07,1042.3,1416424,914056
2014-04-30,1031.5,1408614,907291
2014-04-23,1042.9,1420999,902590
2014-04-16,1044.7,1416647,894918
2014-04-09,1038.5,1435285,906282
2014-04-02,1033.8,1438580,918320
2014-03-26,1025.4,1450063,921337
2014-03-19,1019.1,1450746,922706
2014-03-12,1021,1470151,935807
2014-03-05,1028.2,1472086,935810
2014-02-26,1011.9,1464269,948808
2014-02-19,1028.1,1449691,942212
2014-02-12,991,1483191,959498
2014-02-05,989.7,1476662,956185
2014-01-29,1014.1,1479961,956282
2014-01-22,1018.7,1484468,950632
2014-01-15,1035.7,1476944,951364
2014-01-08,1059.4,1492662,947835
2014-01-01,1046.4,1485018,962870
2013-12-25,1101.3,1485412,939365
2013-12-18,1086.2,1472467,932948
2013-12-11,1082.3,1502549,940384
2013-12-04,1050,1494225,941779
2013-11-27,1059.4,1485402,929614
2013-11-20,1054.4,1474425,924682
2013-11-13,1067.2,1476380,929177
2013-11-06,1070.5,1477219,929857
2013-10-30,1081.7,1477900,927583
2013-10-23,1062.1,1478021,924992
2013-10-16,1033.9,1451059,896906
2013-10-09,1065.9,1466967,933313
2013-10-02,1054.8,1465779,952778
2013-09-25,1064,1477008,952816
2013-09-18,1046.8,1460638,932103
2013-09-11,1035,1467034,925096
2013-09-04,1014.8,1452655,917992
2013-08-28,1020.1,1455313,921691
2013-08-21,1020.4,1448353,920088
2013-08-14,1003.7,1445203,909591
2013-08-07,987.6,1441501,910145
2013-07-31,984.5,1430623,917612
2013-07-24,995.6,1439320,916610
2013-07-17,998.8,1442400,922445
2013-07-10,990,1442628,914523
2013-07-03,1035.3,1426468,905772
2013-06-26,1039.4,1429868,905402
2013-06-19,1037.7,1426257,899919
2013-06-12,1034.4,1440419,911230
2013-06-05,1030.5,1441893,909009
2013-05-29,1047.8,1443681,913104
2013-05-22,1033.3,1437410,906230
