Date;Last Price;Open Price;High Price;Low Price;SMAVG (200);SMAVG (50);RX1 Comdty - Volume
2019-01-24;165.32;164.72;165.54;164.59;;;890974
2019-01-23;164.57;164.65;164.77;164.34;;;600559
2019-01-22;164.47;164.25;164.75;164.12;;;608301
2019-01-21;164.13;164.2;164.3;164.04;;;272114
2019-01-18;164.07;164.28;164.34;163.84;;;712268
2019-01-17;164.3;164.72;164.89;164.23;;;566676
2019-01-16;164.59;164.8;164.9;164.36;;;638525
2019-01-15;164.89;164.62;164.98;164.38;;;706551
2019-01-14;164.57;164.51;164.88;164.43;;;540338
2019-01-11;164.41;164.25;164.64;164.16;;;563194
2019-01-10;164.21;163.93;164.38;163.93;;;647105
2019-01-09;163.96;163.71;164.11;163.48;;;656380
2019-01-08;163.74;163.76;163.9;163.5;;;658669
2019-01-07;163.96;163.93;164.32;163.76;;;541364
2019-01-04;163.97;165.01;165.04;163.88;;;649416
2019-01-03;164.82;164.91;165.1;164.38;;;683676
2019-01-02;164.64;163.7;164.94;163.58;;;713330
2018-12-31;163.54;;;;;;
2018-12-28;163.54;163.64;163.76;163.42;;;335361
2018-12-27;163.73;163.18;163.79;163.15;;;334721
2018-12-24;163.36;;;;;;
2018-12-21;163.36;163.54;163.54;163.27;;;385743
2018-12-20;163.56;163.74;164.01;163.41;;;696497
2018-12-19;163.38;163.48;163.85;163.24;;;543107
2018-12-18;163.34;163.29;163.55;163.22;;;482974
2018-12-17;163.14;163.28;163.3;162.96;;;398427
2018-12-14;163.2;162.89;163.3;162.81;;;554180
2018-12-13;162.87;162.77;163.14;162.51;;;806925
2018-12-12;162.98;163.35;163.53;162.6;;;708400
2018-12-11;163.48;163.24;163.59;162.83;;;741273
2018-12-10;163.4;163.61;163.64;162.98;;;668405
2018-12-07;163.17;163.23;163.46;162.93;;;619944
