Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2020-07-09,314.38,262.18,167.17,56.56,90.155,132.62,31.06,167.36,55.07,81.08,22.47,17.24,25.81,28.41
2020-07-08,316.18,259.99,164.55,56.26,90.37,132.465,31.04,167.43,55.34,80.72,22.635,17.27,25.475,29.18
2020-07-07,313.78,256.61,165.21,56.43,90.575,132.255,30.78,167.27,55.38,78.84,22.795,17.17,25.29,28.79
2020-07-06,317.05,258.39,162.92,56.66,90.66,132.145,30.9,167.075,55.88,77.75,22.93,17.06,25.16,28.96
2020-07-03,,,,56.28,90.52,131.885,,166.835,,,22.58,,24.62,
2020-07-02,312.23,252.19,163.59,56.65,90.17,131.94,30.9,167.24,55.17,74.94,22.755,16.96,24.835,28.75
2020-07-01,310.52,250.49,163.42,56.29,89.845,131.625,30.76,166.615,54.81,73.5,22.325,16.92,24.765,28.35
2020-06-30,308.36,247.6,163.93,55.94,89.13,132.21,30.74,166.805,54.92,71.31,22.27,16.99,24.675,28.06
2020-06-29,304.46,242.84,164.73,56.045,89.24,132.18,30.77,166.45,55.48,69.36,22.245,16.93,24.46,28.27
2020-06-26,300.05,240.22,165.25,55.91,89.3,132.45,30.75,166.465,55.47,68.97,22.15,16.93,24.345,27.36
2020-06-25,307.35,246.03,163.5,56.19,89.095,132.11,31.05,166.435,56.01,70.58,22.225,16.85,24.115,27.94
2020-06-24,304.09,243.71,163.03,56.475,88.995,131.99,30.89,166.72,55.38,69.3,22.04,16.87,24.07,27.25
2020-06-23,312.05,248.84,161.3,56.99,89.55,131.685,31.17,166.58,56.56,72.4,22.72,16.91,24.175,28.72
2020-06-22,310.62,246.74,162.41,56.68,89.29,131.9,31.01,166.405,56.41,71.29,22.41,16.78,24.12,28.98
2020-06-19,308.64,244.24,162.39,56.39,89.15,131.695,31,165.73,56.03,68.03,22.58,16.66,23.995,28.23
2020-06-18,311.78,244.28,162.26,56.14,89.11,131.545,30.64,165.49,56.3,67.63,22.44,16.47,23.76,27.89
2020-06-17,311.66,243.62,160.56,56.3,88.82,131.19,30.86,165.205,56.4,66.5,22.595,16.52,23.6125,27.28
2020-06-16,312.96,242.85,159.9,56.55,89.025,131.03,31.06,165.27,56.15,66.69,22.41,16.5,23.455,27.64
2020-06-15,307.05,238.75,162.39,56.22,87.82,131.055,31.28,164.69,55.09,64.64,21.805,16.48,23.4,26.98
